entry_date,entry_time,exit_date,exit_time,entry_price,exit_price,stop_price,shares,notional,gross_pnl,net_pnl,R_multiple,exit_reason,cum_pnl,account_equity,tactical_equity
2026-02-09,09:30,2026-02-09,15:30,50.385,51.75,49.1224,198,9976.23,270.27,270.27,1.081,time_exit,270.27,25270.27,10270.27
2026-03-02,09:30,2026-03-02,15:30,48.7379,49.7,47.5184,205,9991.27,197.23,197.23,0.789,time_exit,467.5,25467.5,10467.5
2026-03-16,09:30,2026-03-16,15:30,47.8199,47.46,46.6237,209,9994.36,-75.22,-75.22,-0.301,time_exit,392.28,25392.28,10392.28
2026-03-23,09:30,2026-03-23,11:30,45.68,44.5332,44.5332,218,9958.24,-250.0,-250.0,-1.0,stop_loss,142.27999999999997,25142.28,10142.28
2026-04-06,09:30,2026-04-06,15:30,44.3688,44.12,43.2577,225,9982.98,-55.98,-55.98,-0.224,time_exit,86.29999999999998,25086.3,10086.3
2026-04-13,09:30,2026-04-13,15:30,49.3102,50.67,48.0726,202,9960.66,274.68,274.68,1.099,time_exit,360.98,25360.98,10360.98
