版本,交易笔数,总净盈亏,账户最终权益,账户总收益率,战术层总收益率,胜率,平均盈利,平均亏损,盈亏比PF,最大回撤_账户,平均R,中位R,止损触发率
V0  周一TQQQ涨（无过滤，基线）,146,8154.0,33154.0,0.3262,0.8154,0.3356,655.15,-246.89,1.34,-0.2032,0.223,-1.0,0.6507
V1  周一TQQQ涨 ∧ QQQ>MA20,102,3214.42,28214.42,0.1286,0.3214,0.3627,517.91,-245.36,1.202,-0.1179,0.126,-1.0,0.6176
V2  周一TQQQ涨 ∧ QQQ>MA20 ∧ QQQ>MA65,95,4843.51,29843.51,0.1937,0.4844,0.3895,517.91,-246.88,1.338,-0.108,0.204,-1.0,0.6
