entry_date,exit_date,direction,entry_price,exit_price,stop_price,shares,notional,gross_pnl,net_pnl,R_multiple,exit_reason,cum_pnl,account_equity,tactical_equity
2021-03-29,2021-03-30,LONG,21.1561,20.6264,20.6264,472,9985.68,-250.0,-250.0,-1.0,stop_loss,-250.0,24750.0,9750.0
2021-04-12,2021-04-21,LONG,25.5139,24.8745,24.8745,391,9975.93,-250.0,-250.0,-1.0,stop_loss,-500.0,24500.0,9500.0
2021-04-05,2021-04-23,LONG,24.2746,26.0416,23.6663,411,9976.86,726.23,726.23,2.905,time_exit,226.23000000000002,25226.23,10226.23
2021-04-26,2021-04-28,LONG,26.5574,25.8925,25.8925,376,9985.57,-250.0,-250.0,-1.0,stop_loss,-23.769999999999982,24976.23,9976.23
2021-05-24,2021-06-03,LONG,24.1839,23.5785,23.5785,413,9987.94,-250.0,-250.0,-1.0,stop_loss,-273.77,24726.23,9726.23
2021-06-14,2021-06-15,LONG,26.8105,26.1384,26.1384,372,9973.49,-250.0,-250.0,-1.0,stop_loss,-523.77,24476.23,9476.23
2021-06-07,2021-06-25,LONG,25.0483,28.0593,24.4217,399,9994.25,1201.41,1201.41,4.806,time_exit,677.6400000000001,25677.64,10677.64
2021-06-21,2021-07-12,LONG,26.8415,31.2256,26.1695,372,9985.04,1630.86,1630.86,6.523,time_exit,2308.5,27308.5,12308.5
2021-06-28,2021-07-19,LONG,29.0526,29.2556,28.3259,344,9994.11,69.82,69.82,0.279,time_exit,2378.32,27378.32,12378.32
2021-07-26,2021-07-27,LONG,32.7442,31.9245,31.9245,305,9986.99,-250.0,-250.0,-1.0,stop_loss,2128.32,27128.32,12128.32
2021-07-19,2021-08-06,LONG,29.2556,32.5771,28.5225,341,9976.16,1132.62,1132.62,4.53,time_exit,3260.94,28260.94,13260.94
2021-08-09,2021-08-10,LONG,32.7514,31.9317,31.9317,305,9989.17,-250.0,-250.0,-1.0,stop_loss,3010.94,28010.94,13010.94
2021-08-16,2021-08-17,LONG,32.8039,31.9815,31.9815,304,9972.39,-250.0,-250.0,-1.0,stop_loss,2760.94,27760.94,12760.94
2021-08-30,2021-09-10,LONG,35.7958,34.8998,34.8998,279,9987.04,-250.0,-250.0,-1.0,stop_loss,2510.94,27510.94,12510.94
2021-08-23,2021-09-13,LONG,33.8713,34.676,33.0238,295,9992.02,237.39,237.39,0.95,time_exit,2748.33,27748.33,12748.33
2021-09-27,2021-09-28,LONG,33.0403,32.2125,32.2125,302,9978.17,-250.0,-250.0,-1.0,stop_loss,2498.33,27498.33,12498.33
2021-10-18,2021-11-05,LONG,33.377,40.7267,32.5409,299,9979.72,2197.57,2197.57,8.79,time_exit,4695.9,29695.9,14695.9
2021-10-25,2021-11-12,LONG,34.7476,39.5065,33.8765,287,9972.56,1365.81,1365.81,5.463,time_exit,6061.709999999999,31061.71,16061.71
2021-11-01,2021-11-19,LONG,37.4148,42.2979,36.4785,267,9989.75,1303.79,1303.79,5.215,time_exit,7365.499999999999,32365.5,17365.5
2021-11-29,2021-11-30,LONG,40.7912,39.7708,39.7708,245,9993.84,-250.0,-250.0,-1.0,stop_loss,7115.499999999999,32115.5,17115.5
2021-12-06,2021-12-17,LONG,36.6746,35.7554,35.7554,272,9975.48,-250.0,-250.0,-1.0,stop_loss,6865.499999999999,31865.5,16865.5
2021-12-27,2021-12-29,LONG,41.4025,40.3651,40.3651,241,9977.99,-250.0,-250.0,-1.0,stop_loss,6615.499999999999,31615.5,16615.5
