entry_date,exit_date,entry_price,exit_price,stop_price,qqq_close,qqq_ma20,qqq_ma65,shares,notional,gross_pnl,net_pnl,R_multiple,exit_reason,cum_pnl,account_equity,tactical_equity
2021-03-29,2021-03-30,21.1561,20.6264,20.6264,306.5686,304.1489,,472,9985.68,-250.0,-250.0,-1.0,stop_loss,-250.0,24750.0,9750.0
2021-04-12,2021-04-21,25.5139,24.8745,24.8745,326.7148,312.2746,311.7779,391,9975.93,-250.0,-250.0,-1.0,stop_loss,-500.0,24500.0,9500.0
2021-04-05,2021-04-23,24.2746,26.0416,23.6663,321.2609,306.5892,310.0185,411,9976.86,726.23,726.23,2.905,time_exit,226.23000000000002,25226.23,10226.23
2021-04-26,2021-04-28,26.5574,25.8925,25.8925,331.5281,323.5337,315.1284,376,9985.57,-250.0,-250.0,-1.0,stop_loss,-23.769999999999982,24976.23,9976.23
2021-05-24,2021-06-03,24.1839,23.5785,23.5785,322.6777,319.7417,315.4068,413,9987.94,-250.0,-250.0,-1.0,stop_loss,-273.77,24726.23,9726.23
2021-06-14,2021-06-15,26.8105,26.1384,26.1384,334.323,323.1372,320.0062,372,9973.5,-250.0,-250.0,-1.0,stop_loss,-523.77,24476.23,9476.23
2021-06-07,2021-06-25,25.0483,28.0593,24.4217,326.6468,318.9639,317.7318,399,9994.26,1201.41,1201.41,4.806,time_exit,677.6400000000001,25677.64,10677.64
2021-06-21,2021-07-12,26.8415,31.2256,26.1695,334.565,327.5498,321.935,372,9985.04,1630.86,1630.86,6.523,time_exit,2308.5,27308.5,12308.5
2021-06-28,2021-07-19,29.0526,29.2556,28.3259,343.649,331.6245,324.6018,344,9994.11,69.82,69.82,0.279,time_exit,2378.32,27378.32,12378.32
2021-07-26,2021-07-27,32.7442,31.9245,31.9245,358.0086,349.7091,332.819,305,9986.98,-250.0,-250.0,-1.0,stop_loss,2128.32,27128.32,12128.32
2021-07-19,2021-08-06,29.2556,32.5771,28.5225,344.5816,345.7272,330.8585,341,9976.16,1132.62,1132.62,4.53,time_exit,3260.94,28260.94,13260.94
2021-08-09,2021-08-10,32.7514,31.9317,31.9317,358.2418,353.9271,337.3798,305,9989.17,-250.0,-250.0,-1.0,stop_loss,3010.94,28010.94,13010.94
2021-08-16,2021-08-17,32.8039,31.9815,31.9815,358.4847,355.8751,340.6495,304,9972.39,-250.0,-250.0,-1.0,stop_loss,2760.94,27760.94,12760.94
2021-08-30,2021-09-10,35.7958,34.8998,34.8998,369.4438,358.9768,347.086,279,9987.04,-250.0,-250.0,-1.0,stop_loss,2510.94,27510.94,12510.94
2021-08-23,2021-09-13,33.8713,34.676,33.0238,362.6137,356.4517,343.7929,295,9992.02,237.38,237.38,0.95,time_exit,2748.32,27748.32,12748.32
2021-09-27,2021-09-28,33.0403,32.2125,32.2125,360.2146,365.5007,357.3505,302,9978.17,-250.0,-250.0,-1.0,stop_loss,2498.32,27498.32,12498.32
2021-10-18,2021-11-05,33.377,40.7267,32.5409,362.4517,353.4169,358.0693,299,9979.72,2197.57,2197.57,8.79,time_exit,4695.89,29695.89,14695.89
2021-10-25,2021-11-12,34.7476,39.5065,33.8765,367.5872,354.748,359.1853,287,9972.56,1365.81,1365.81,5.463,time_exit,6061.700000000001,31061.7,16061.7
2021-11-01,2021-11-19,37.4148,42.2979,36.4785,376.8271,360.9227,360.5187,267,9989.75,1303.79,1303.79,5.215,time_exit,7365.490000000001,32365.49,17365.49
2021-11-29,2021-11-30,40.7912,39.7708,39.7708,388.7517,384.992,368.5808,245,9993.84,-250.0,-250.0,-1.0,stop_loss,7115.490000000001,32115.49,17115.49
2021-12-06,2021-12-17,36.6746,35.7554,35.7554,375.6308,383.7129,369.2549,272,9975.48,-250.0,-250.0,-1.0,stop_loss,6865.490000000001,31865.49,16865.49
2021-12-27,2021-12-29,41.4025,40.3651,40.3651,392.9392,381.5186,373.036,241,9977.99,-250.0,-250.0,-1.0,stop_loss,6615.490000000001,31615.49,16615.49
2022-01-03,2022-01-04,40.8628,39.8382,39.8382,391.1862,384.044,375.8014,244,9970.53,-250.0,-250.0,-1.0,stop_loss,6365.490000000001,31365.49,16365.490000000002
2021-12-20,2022-01-07,34.9314,34.0573,34.0573,370.7446,381.5749,371.3723,286,9990.39,-250.0,-250.0,-1.0,stop_loss,6115.490000000001,31115.49,16115.490000000002
2022-01-10,2022-01-13,34.5279,33.6629,33.6629,370.1797,381.7013,377.8123,289,9978.57,-250.0,-250.0,-1.0,stop_loss,5865.490000000001,30865.49,15865.490000000002
2022-01-24,2022-01-25,27.4552,26.7684,26.7684,344.0702,373.2791,378.4629,364,9993.69,-250.0,-250.0,-1.0,stop_loss,5615.490000000001,30615.49,15615.490000000002
2022-01-31,2022-02-01,29.5278,28.7882,28.7882,353.5654,360.6572,376.3596,338,9980.4,-250.0,-250.0,-1.0,stop_loss,5365.490000000001,30365.49,15365.490000000002
2022-02-14,2022-02-17,25.5163,24.8769,24.8769,338.412,347.133,371.3379,391,9976.86,-250.0,-250.0,-1.0,stop_loss,5115.490000000001,30115.49,15115.490000000002
2022-02-28,2022-03-01,25.053,24.4265,24.4265,337.74,342.9146,364.2478,399,9996.16,-250.0,-250.0,-1.0,stop_loss,4865.490000000001,29865.49,14865.490000000002
2022-03-28,2022-03-31,28.4246,27.7124,27.7124,355.8162,332.8286,349.4378,351,9977.05,-250.0,-250.0,-1.0,stop_loss,4615.490000000001,29615.49,14615.490000000002
2022-04-04,2022-04-05,29.3941,28.6588,28.6588,360.0968,339.6996,346.8956,340,9993.99,-250.0,-250.0,-1.0,stop_loss,4365.490000000001,29365.49,14365.490000000002
2022-04-18,2022-04-21,22.5076,21.9446,21.9446,330.2496,345.9664,341.3195,444,9993.38,-250.0,-250.0,-1.0,stop_loss,4115.490000000001,29115.49,14115.490000000002
2022-04-25,2022-04-26,20.5591,20.0447,20.0447,321.3666,341.0291,338.6564,486,9991.75,-250.0,-250.0,-1.0,stop_loss,3865.4900000000007,28865.49,13865.490000000002
2022-05-02,2022-05-04,18.2668,17.8098,17.8098,310.5432,329.6236,336.5564,547,9991.96,-250.0,-250.0,-1.0,stop_loss,3615.4900000000007,28615.49,13615.490000000002
