entry_date,exit_date,entry_price,exit_price,stop_price,qqq_close,qqq_ma20,qqq_ma65,shares,notional,gross_pnl,net_pnl,R_multiple,exit_reason,cum_pnl,account_equity,tactical_equity
2021-04-05,2021-04-09,24.2746,25.6142,23.6663,321.2608,306.5892,310.0185,411,9976.86,550.56,550.56,2.202,time_exit,550.56,25550.56,10550.56
2021-04-12,2021-04-16,25.5139,26.6982,24.8745,326.7147,312.2746,311.7779,391,9975.93,463.08,463.08,1.852,time_exit,1013.6399999999999,26013.64,11013.64
2021-04-26,2021-04-28,26.5574,25.8925,25.8925,331.528,323.5336,315.1284,376,9985.57,-250.0,-250.0,-1.0,stop_loss,763.6399999999999,25763.64,10763.64
2021-05-24,2021-05-28,24.1839,24.4967,23.5785,322.6777,319.7417,315.4068,413,9987.94,129.19,129.19,0.517,time_exit,892.8299999999999,25892.83,10892.83
2021-06-07,2021-06-11,25.0483,26.0798,24.4217,326.6467,318.9639,317.7318,399,9994.26,411.58,411.58,1.646,time_exit,1304.4099999999999,26304.41,11304.41
2021-06-14,2021-06-15,26.8105,26.1384,26.1384,334.3229,323.1372,320.0062,372,9973.5,-250.0,-250.0,-1.0,stop_loss,1054.4099999999999,26054.41,11054.41
2021-06-21,2021-06-25,26.8415,28.0593,26.1695,334.5649,327.5497,321.935,372,9985.04,453.02,453.02,1.812,time_exit,1507.4299999999998,26507.43,11507.43
2021-06-28,2021-07-02,29.0526,30.2585,28.3259,343.649,331.6245,324.6018,344,9994.11,414.81,414.81,1.659,time_exit,1922.2399999999998,26922.239999999998,11922.24
2021-07-26,2021-07-27,32.7442,31.9245,31.9245,358.0086,349.7091,332.819,305,9986.98,-250.0,-250.0,-1.0,stop_loss,1672.2399999999998,26672.239999999998,11672.24
2021-08-09,2021-08-10,32.7514,31.9317,31.9317,358.2418,353.9271,337.3798,305,9989.17,-250.0,-250.0,-1.0,stop_loss,1422.2399999999998,26422.239999999998,11422.24
2021-08-16,2021-08-17,32.8039,31.9815,31.9815,358.4847,355.8751,340.6495,304,9972.39,-250.0,-250.0,-1.0,stop_loss,1172.2399999999998,26172.239999999998,11172.24
2021-08-23,2021-08-27,33.8713,34.6473,33.0238,362.6138,356.4517,343.7929,295,9992.02,228.93,228.93,0.916,time_exit,1401.1699999999998,26401.17,11401.17
2021-08-30,2021-09-03,35.7958,36.1636,34.8998,369.4438,358.9768,347.086,279,9987.04,102.6,102.6,0.41,time_exit,1503.7699999999998,26503.77,11503.77
2021-10-18,2021-10-22,33.377,33.7351,32.5409,362.4516,353.4169,358.0693,299,9979.72,107.09,107.09,0.428,time_exit,1610.8599999999997,26610.86,11610.86
2021-10-25,2021-10-29,34.7476,37.0495,33.8765,367.5872,354.7479,359.1853,287,9972.56,660.64,660.64,2.643,time_exit,2271.4999999999995,27271.5,12271.5
2021-11-01,2021-11-05,37.4148,40.7267,36.4785,376.8272,360.9227,360.5187,267,9989.75,884.28,884.28,3.537,time_exit,3155.7799999999997,28155.78,13155.779999999999
2021-11-29,2021-11-30,40.7912,39.7708,39.7708,388.7517,384.992,368.5808,245,9993.84,-250.0,-250.0,-1.0,stop_loss,2905.7799999999997,27905.78,12905.779999999999
