entry_date,exit_date,direction,entry_price,exit_price,stop_price,shares,notional,gross_pnl,net_pnl,R_multiple,exit_reason,cum_pnl,equity
2021-03-29,2021-03-30,LONG,21.1561,20.6264,20.6264,472,9985.68,-250.0,-250.0,-1.0,stop_loss,-250.0,9750.0
2021-04-05,2021-04-09,LONG,24.2746,25.6142,23.6663,411,9976.86,550.56,550.56,2.202,time_exit,300.55999999999995,10300.56
2021-04-12,2021-04-16,LONG,25.5139,26.6982,24.8745,391,9975.93,463.08,463.08,1.852,time_exit,763.6399999999999,10763.64
2021-04-19,2021-04-23,SHORT,25.97,26.0416,26.6193,385,9998.43,-27.58,-27.58,-0.11,time_exit,736.0599999999998,10736.06
2021-04-26,2021-04-28,LONG,26.5574,25.8925,25.8925,376,9985.57,-250.0,-250.0,-1.0,stop_loss,486.05999999999983,10486.06
2021-05-03,2021-05-07,SHORT,25.287,24.7856,25.92,395,9988.38,198.07,198.07,0.792,time_exit,684.1299999999999,10684.13
2021-05-10,2021-05-14,SHORT,22.9231,22.9159,23.4965,436,9994.47,3.12,3.12,0.012,time_exit,687.2499999999999,10687.25
2021-05-17,2021-05-20,SHORT,22.5291,23.0934,23.0934,443,9980.39,-250.0,-250.0,-1.0,stop_loss,437.2499999999999,10437.25
2021-05-24,2021-05-28,LONG,24.1839,24.4967,23.5785,413,9987.94,129.19,129.19,0.517,time_exit,566.4399999999998,10566.44
2021-06-07,2021-06-11,LONG,25.0483,26.0798,24.4217,399,9994.25,411.58,411.58,1.646,time_exit,978.0199999999998,10978.02
2021-06-14,2021-06-15,LONG,26.8105,26.1384,26.1384,372,9973.5,-250.0,-250.0,-1.0,stop_loss,728.0199999999998,10728.02
2021-06-21,2021-06-25,LONG,26.8415,28.0593,26.1695,372,9985.04,453.02,453.02,1.812,time_exit,1181.0399999999997,11181.039999999999
2021-06-28,2021-07-02,LONG,29.0526,30.2585,28.3259,344,9994.11,414.81,414.81,1.659,time_exit,1595.8499999999997,11595.85
2021-07-12,2021-07-13,SHORT,31.2256,32.0068,32.0068,320,9992.18,-250.0,-250.0,-1.0,stop_loss,1345.8499999999997,11345.85
2021-07-19,2021-07-23,LONG,29.2556,32.6081,28.5225,341,9976.16,1143.2,1143.2,4.573,time_exit,2489.0499999999997,12489.05
2021-07-26,2021-07-27,LONG,32.7442,31.9245,31.9245,305,9986.98,-250.0,-250.0,-1.0,stop_loss,2239.0499999999997,12239.05
2021-08-02,2021-08-04,SHORT,31.6864,32.4801,32.4801,315,9981.22,-250.0,-250.0,-1.0,stop_loss,1989.0499999999997,11989.05
2021-08-09,2021-08-10,LONG,32.7514,31.9317,31.9317,305,9989.17,-250.0,-250.0,-1.0,stop_loss,1739.0499999999997,11739.05
2021-08-16,2021-08-17,LONG,32.8039,31.9815,31.9815,304,9972.39,-250.0,-250.0,-1.0,stop_loss,1489.0499999999997,11489.05
2021-08-23,2021-08-27,LONG,33.8713,34.6473,33.0238,295,9992.02,228.93,228.93,0.916,time_exit,1717.9799999999998,11717.98
2021-08-30,2021-09-03,LONG,35.7958,36.1636,34.8998,279,9987.04,102.59,102.59,0.41,time_exit,1820.5699999999997,11820.57
2021-09-13,2021-09-17,SHORT,34.676,33.9644,35.544,288,9986.68,204.93,204.93,0.82,time_exit,2025.4999999999998,12025.5
2021-09-20,2021-09-22,SHORT,31.875,32.6738,32.6738,313,9976.89,-250.0,-250.0,-1.0,stop_loss,1775.4999999999998,11775.5
2021-09-27,2021-09-28,LONG,33.0403,32.2125,32.2125,302,9978.17,-250.0,-250.0,-1.0,stop_loss,1525.4999999999998,11525.5
2021-10-04,2021-10-05,SHORT,28.4246,29.1369,29.1369,351,9977.05,-250.0,-250.0,-1.0,stop_loss,1275.4999999999998,11275.5
2021-10-11,2021-10-14,SHORT,29.7642,30.5105,30.5105,335,9971.01,-250.0,-250.0,-1.0,stop_loss,1025.4999999999998,11025.5
2021-10-18,2021-10-22,LONG,33.377,33.7352,32.5409,299,9979.72,107.1,107.1,0.428,time_exit,1132.5999999999997,11132.6
2021-10-25,2021-10-29,LONG,34.7476,37.0494,33.8765,287,9972.56,660.63,660.63,2.643,time_exit,1793.2299999999996,11793.23
2021-11-01,2021-11-05,LONG,37.4148,40.7267,36.4785,267,9989.75,884.28,884.28,3.537,time_exit,2677.5099999999993,12677.509999999998
2021-11-08,2021-11-12,SHORT,40.5595,39.5065,41.5758,246,9977.65,259.04,259.04,1.036,time_exit,2936.5499999999993,12936.55
2021-11-15,2021-11-17,SHORT,39.4946,40.4827,40.4827,253,9992.13,-250.0,-250.0,-1.0,stop_loss,2686.5499999999993,12686.55
2021-11-22,2021-11-29,SHORT,40.8318,40.7912,41.8564,244,9962.95,9.91,9.91,0.04,time_exit,2696.459999999999,12696.46
2021-12-06,2021-12-10,LONG,36.6746,39.9889,35.7554,272,9975.48,901.49,901.49,3.606,time_exit,3597.949999999999,13597.949999999999
2021-12-13,2021-12-15,SHORT,38.2696,39.2275,39.2275,261,9988.37,-250.0,-250.0,-1.0,stop_loss,3347.949999999999,13347.949999999999
2021-12-20,2021-12-27,LONG,34.9315,41.4025,34.0573,286,9990.4,1850.71,1850.71,7.403,time_exit,5198.659999999999,15198.66
2022-01-03,2022-01-04,LONG,40.8628,39.8382,39.8382,244,9970.53,-250.0,-250.0,-1.0,stop_loss,4948.659999999999,14948.66
2022-01-10,2022-01-13,LONG,34.5279,33.6629,33.6629,289,9978.57,-250.0,-250.0,-1.0,stop_loss,4698.659999999999,14698.66
2022-01-24,2022-01-25,LONG,27.4552,26.7684,26.7684,364,9993.69,-250.0,-250.0,-1.0,stop_loss,4448.659999999999,14448.66
2022-01-31,2022-02-01,LONG,29.5278,28.7882,28.7882,338,9980.4,-250.0,-250.0,-1.0,stop_loss,4198.659999999999,14198.66
2022-02-07,2022-02-08,SHORT,27.3979,28.0847,28.0847,364,9972.83,-250.0,-250.0,-1.0,stop_loss,3948.659999999999,13948.66
2022-02-14,2022-02-17,LONG,25.5163,24.8769,24.8769,391,9976.86,-250.0,-250.0,-1.0,stop_loss,3698.659999999999,13698.66
2022-02-28,2022-03-01,LONG,25.053,24.4265,24.4265,399,9996.16,-250.0,-250.0,-1.0,stop_loss,3448.659999999999,13448.66
2022-03-07,2022-03-08,SHORT,20.4016,20.9118,20.9118,490,9996.76,-250.0,-250.0,-1.0,stop_loss,3198.659999999999,13198.66
2022-03-14,2022-03-15,SHORT,19.0357,19.5119,19.5119,525,9993.75,-250.0,-250.0,-1.0,stop_loss,2948.659999999999,12948.66
2022-03-21,2022-03-22,SHORT,25.2106,25.8419,25.8419,396,9983.41,-250.0,-250.0,-1.0,stop_loss,2698.659999999999,12698.66
2022-03-28,2022-03-31,LONG,28.4246,27.7124,27.7124,351,9977.05,-250.0,-250.0,-1.0,stop_loss,2448.659999999999,12448.66
2022-04-04,2022-04-05,LONG,29.3941,28.6588,28.6588,340,9993.99,-250.0,-250.0,-1.0,stop_loss,2198.659999999999,12198.66
2022-04-11,2022-04-12,SHORT,22.9995,23.5755,23.5755,434,9981.79,-250.0,-250.0,-1.0,stop_loss,1948.659999999999,11948.66
2022-04-18,2022-04-21,LONG,22.5076,21.9445,21.9445,444,9993.38,-250.0,-250.0,-1.0,stop_loss,1698.659999999999,11698.66
2022-04-25,2022-04-26,LONG,20.5592,20.0447,20.0447,486,9991.75,-250.0,-250.0,-1.0,stop_loss,1448.659999999999,11448.66
2022-05-02,2022-05-04,LONG,18.2668,17.8098,17.8098,547,9991.96,-250.0,-250.0,-1.0,stop_loss,1198.659999999999,11198.66
2022-05-09,2022-05-10,SHORT,14.5753,14.9397,14.9397,686,9998.63,-250.0,-250.0,-1.0,stop_loss,948.659999999999,10948.66
2022-05-16,2022-05-17,SHORT,14.6374,15.0034,15.0034,683,9997.31,-250.0,-250.0,-1.0,stop_loss,698.659999999999,10698.66
2022-05-23,2022-05-24,LONG,13.7013,13.3584,13.3584,729,9988.27,-250.0,-250.0,-1.0,stop_loss,448.65999999999894,10448.66
2022-06-06,2022-06-07,SHORT,15.54,15.9288,15.9288,643,9992.19,-250.0,-250.0,-1.0,stop_loss,198.65999999999894,10198.66
2022-06-13,2022-06-14,SHORT,11.0222,11.2978,11.2978,907,9997.13,-250.0,-250.0,-1.0,stop_loss,-51.340000000001055,9948.66
2022-06-27,2022-06-28,SHORT,13.0471,13.3734,13.3734,766,9994.05,-250.0,-250.0,-1.0,stop_loss,-301.34000000000106,9698.66
2022-07-11,2022-07-12,SHORT,12.4692,12.7813,12.7813,801,9987.84,-250.0,-250.0,-1.0,stop_loss,-551.340000000001,9448.66
