entry_date,exit_date,entry_price,exit_price,stop_price,qqq_close,qqq_ma20,qqq_ma65,shares,notional,gross_pnl,net_pnl,R_multiple,exit_reason,cum_pnl,account_equity,tactical_equity
2021-03-29,2021-03-30,21.1561,20.6264,20.6264,306.5686,304.1489,,472,9985.68,-250.0,-250.0,-1.0,stop_loss,-250.0,24750.0,9750.0
2021-04-05,2021-04-16,24.2746,26.6982,23.6663,321.2609,306.5892,310.0185,411,9976.86,996.12,996.12,3.984,time_exit,746.12,25746.12,10746.12
2021-04-12,2021-04-21,25.5139,24.8745,24.8745,326.7148,312.2746,311.7779,391,9975.93,-250.0,-250.0,-1.0,stop_loss,496.12,25496.12,10496.12
2021-04-26,2021-04-28,26.5574,25.8925,25.8925,331.5281,323.5337,315.1284,376,9985.57,-250.0,-250.0,-1.0,stop_loss,246.12,25246.12,10246.12
2021-05-24,2021-06-03,24.1839,23.5785,23.5785,322.6777,319.7417,315.4068,413,9987.94,-250.0,-250.0,-1.0,stop_loss,-3.8799999999999955,24996.12,9996.12
2021-06-14,2021-06-15,26.8105,26.1384,26.1384,334.323,323.1372,320.0062,372,9973.5,-250.0,-250.0,-1.0,stop_loss,-253.88,24746.12,9746.12
2021-06-07,2021-06-18,25.0483,26.3592,24.4217,326.6468,318.9639,317.7318,399,9994.26,523.06,523.06,2.092,time_exit,269.17999999999995,25269.18,10269.18
2021-06-21,2021-07-02,26.8415,30.2585,26.1695,334.565,327.5498,321.935,372,9985.04,1271.12,1271.12,5.084,time_exit,1540.2999999999997,26540.3,11540.3
2021-06-28,2021-07-12,29.0526,31.2256,28.3259,343.649,331.6245,324.6018,344,9994.11,747.48,747.48,2.99,time_exit,2287.7799999999997,27287.78,12287.779999999999
2021-07-26,2021-07-27,32.7442,31.9245,31.9245,358.0086,349.7091,332.819,305,9986.98,-250.0,-250.0,-1.0,stop_loss,2037.7799999999997,27037.78,12037.779999999999
2021-07-19,2021-07-30,29.2556,31.696,28.5225,344.5816,345.7272,330.8585,341,9976.16,832.16,832.16,3.329,time_exit,2869.9399999999996,27869.94,12869.939999999999
2021-08-09,2021-08-10,32.7514,31.9317,31.9317,358.2418,353.9271,337.3798,305,9989.17,-250.0,-250.0,-1.0,stop_loss,2619.9399999999996,27619.94,12619.939999999999
2021-08-16,2021-08-17,32.8039,31.9815,31.9815,358.4847,355.8751,340.6495,304,9972.39,-250.0,-250.0,-1.0,stop_loss,2369.9399999999996,27369.94,12369.939999999999
2021-08-23,2021-09-03,33.8713,36.1636,33.0238,362.6137,356.4517,343.7929,295,9992.02,676.23,676.23,2.705,time_exit,3046.1699999999996,28046.17,13046.17
2021-08-30,2021-09-10,35.7958,34.8998,34.8998,369.4438,358.9768,347.086,279,9987.04,-250.0,-250.0,-1.0,stop_loss,2796.1699999999996,27796.17,12796.17
2021-09-27,2021-09-28,33.0403,32.2125,32.2125,360.2146,365.5007,357.3505,302,9978.17,-250.0,-250.0,-1.0,stop_loss,2546.1699999999996,27546.17,12546.17
2021-10-18,2021-10-29,33.377,37.0495,32.5409,362.4517,353.4169,358.0693,299,9979.72,1098.07,1098.07,4.392,time_exit,3644.24,28644.239999999998,13644.24
