entry_date,exit_date,direction,entry_price,exit_price,stop_price,shares,notional,gross_pnl,net_pnl,R_multiple,exit_reason,cum_pnl,equity
2021-03-29,2021-03-30,LONG,21.1561,20.6264,20.6264,472,9985.68,-250.0,-250.0,-1.0,stop_loss,-250.0,9750.0
2021-04-05,2021-05-04,LONG,24.2746,23.6663,23.6663,411,9976.86,-250.0,-250.0,-1.0,stop_loss,-500.0,9500.0
2021-05-24,2021-06-03,LONG,24.1839,23.5785,23.5785,413,9987.94,-250.0,-250.0,-1.0,stop_loss,-750.0,9250.0
2021-06-07,2021-07-26,LONG,25.0483,32.7442,24.4217,399,9994.25,3070.68,3070.68,12.283,time_exit,2320.68,12320.68
2021-08-09,2021-08-10,LONG,32.7514,31.9317,31.9317,305,9989.17,-250.0,-250.0,-1.0,stop_loss,2070.68,12070.68
2021-08-16,2021-08-17,LONG,32.8039,31.9815,31.9815,304,9972.39,-250.0,-250.0,-1.0,stop_loss,1820.6799999999998,11820.68
2021-08-23,2021-09-20,LONG,33.8713,33.0238,33.0238,295,9992.02,-250.0,-250.0,-1.0,stop_loss,1570.6799999999998,11570.68
2021-09-27,2021-09-28,LONG,33.0403,32.2125,32.2125,302,9978.17,-250.0,-250.0,-1.0,stop_loss,1320.6799999999998,11320.68
2021-10-18,2021-12-06,LONG,33.377,36.6746,32.5409,299,9979.72,985.98,985.98,3.944,time_exit,2306.66,12306.66
2021-12-20,2022-01-07,LONG,34.9315,34.0573,34.0573,286,9990.4,-250.0,-250.0,-1.0,stop_loss,2056.66,12056.66
2022-01-10,2022-01-13,LONG,34.5279,33.6629,33.6629,289,9978.57,-250.0,-250.0,-1.0,stop_loss,1806.6599999999999,11806.66
2022-01-24,2022-01-25,LONG,27.4552,26.7684,26.7684,364,9993.69,-250.0,-250.0,-1.0,stop_loss,1556.6599999999999,11556.66
2022-01-31,2022-02-01,LONG,29.5278,28.7882,28.7882,338,9980.4,-250.0,-250.0,-1.0,stop_loss,1306.6599999999999,11306.66
2022-02-14,2022-02-17,LONG,25.5163,24.8769,24.8769,391,9976.86,-250.0,-250.0,-1.0,stop_loss,1056.6599999999999,11056.66
2022-02-28,2022-03-01,LONG,25.053,24.4265,24.4265,399,9996.16,-250.0,-250.0,-1.0,stop_loss,806.6599999999999,10806.66
2022-03-28,2022-03-31,LONG,28.4246,27.7124,27.7124,351,9977.05,-250.0,-250.0,-1.0,stop_loss,556.6599999999999,10556.66
2022-04-04,2022-04-05,LONG,29.3941,28.6588,28.6588,340,9993.99,-250.0,-250.0,-1.0,stop_loss,306.65999999999985,10306.66
2022-04-18,2022-04-21,LONG,22.5076,21.9445,21.9445,444,9993.38,-250.0,-250.0,-1.0,stop_loss,56.659999999999854,10056.66
2022-04-25,2022-04-26,LONG,20.5592,20.0447,20.0447,486,9991.75,-250.0,-250.0,-1.0,stop_loss,-193.34000000000015,9806.66
2022-05-02,2022-05-04,LONG,18.2668,17.8098,17.8098,547,9991.96,-250.0,-250.0,-1.0,stop_loss,-443.34000000000015,9556.66
2022-05-23,2022-05-24,LONG,13.7013,13.3584,13.3584,729,9988.27,-250.0,-250.0,-1.0,stop_loss,-693.3400000000001,9306.66
2022-08-01,2022-08-02,LONG,15.9077,15.5096,15.5096,628,9990.02,-250.0,-250.0,-1.0,stop_loss,-943.3400000000001,9056.66
2022-08-15,2022-08-16,LONG,18.5725,18.1078,18.1078,538,9992.0,-250.0,-250.0,-1.0,stop_loss,-1193.3400000000001,8806.66
2022-09-12,2022-09-13,LONG,14.7711,14.4012,14.4012,676,9985.24,-250.0,-250.0,-1.0,stop_loss,-1443.3400000000001,8556.66
2022-09-19,2022-09-20,LONG,12.0299,11.729,11.729,831,9996.81,-250.0,-250.0,-1.0,stop_loss,-1693.3400000000001,8306.66
