entry_date,exit_date,direction,entry_price,exit_price,stop_price,shares,notional,gross_pnl,net_pnl,R_multiple,exit_reason,cum_pnl,equity
2021-03-29,2021-03-30,LONG,21.1561,20.6264,20.6264,472,9985.68,-250.0,-250.0,-1.0,stop_loss,-250.0,9750.0
2021-04-05,2021-04-16,LONG,24.2746,26.6982,23.6663,411,9976.86,996.11,996.11,3.984,time_exit,746.11,10746.11
2021-04-26,2021-04-28,LONG,26.5574,25.8925,25.8925,376,9985.57,-250.0,-250.0,-1.0,stop_loss,496.11,10496.11
2021-05-24,2021-06-03,LONG,24.1839,23.5785,23.5785,413,9987.94,-250.0,-250.0,-1.0,stop_loss,246.11,10246.11
2021-06-07,2021-06-18,LONG,25.0483,26.3592,24.4217,399,9994.25,523.06,523.06,2.092,time_exit,769.17,10769.17
2021-06-21,2021-07-02,LONG,26.8415,30.2585,26.1695,372,9985.04,1271.11,1271.11,5.084,time_exit,2040.2799999999997,12040.279999999999
2021-07-19,2021-07-30,LONG,29.2556,31.696,28.5225,341,9976.16,832.16,832.16,3.329,time_exit,2872.4399999999996,12872.439999999999
2021-08-09,2021-08-10,LONG,32.7514,31.9317,31.9317,305,9989.17,-250.0,-250.0,-1.0,stop_loss,2622.4399999999996,12622.439999999999
2021-08-16,2021-08-17,LONG,32.8039,31.9815,31.9815,304,9972.39,-250.0,-250.0,-1.0,stop_loss,2372.4399999999996,12372.439999999999
2021-08-23,2021-09-03,LONG,33.8713,36.1636,33.0238,295,9992.02,676.23,676.23,2.705,time_exit,3048.6699999999996,13048.67
2021-09-27,2021-09-28,LONG,33.0403,32.2125,32.2125,302,9978.17,-250.0,-250.0,-1.0,stop_loss,2798.6699999999996,12798.67
2021-10-18,2021-10-29,LONG,33.377,37.0494,32.5409,299,9979.72,1098.07,1098.07,4.392,time_exit,3896.74,13896.74
2021-11-01,2021-11-12,LONG,37.4148,39.5065,36.4785,267,9989.75,558.49,558.49,2.234,time_exit,4455.23,14455.23
2021-11-29,2021-11-30,LONG,40.7912,39.7708,39.7708,245,9993.84,-250.0,-250.0,-1.0,stop_loss,4205.23,14205.23
2021-12-06,2021-12-17,LONG,36.6746,35.7554,35.7554,272,9975.48,-250.0,-250.0,-1.0,stop_loss,3955.2299999999996,13955.23
2021-12-20,2022-01-03,LONG,34.9315,40.8628,34.0573,286,9990.4,1696.37,1696.37,6.785,time_exit,5651.599999999999,15651.599999999999
2022-01-10,2022-01-13,LONG,34.5279,33.6629,33.6629,289,9978.57,-250.0,-250.0,-1.0,stop_loss,5401.599999999999,15401.599999999999
2022-01-24,2022-01-25,LONG,27.4552,26.7684,26.7684,364,9993.69,-250.0,-250.0,-1.0,stop_loss,5151.599999999999,15151.599999999999
2022-01-31,2022-02-01,LONG,29.5278,28.7882,28.7882,338,9980.4,-250.0,-250.0,-1.0,stop_loss,4901.599999999999,14901.599999999999
2022-02-14,2022-02-17,LONG,25.5163,24.8769,24.8769,391,9976.86,-250.0,-250.0,-1.0,stop_loss,4651.599999999999,14651.599999999999
2022-02-28,2022-03-01,LONG,25.053,24.4265,24.4265,399,9996.16,-250.0,-250.0,-1.0,stop_loss,4401.599999999999,14401.599999999999
2022-03-28,2022-03-31,LONG,28.4246,27.7124,27.7124,351,9977.05,-250.0,-250.0,-1.0,stop_loss,4151.599999999999,14151.599999999999
2022-04-04,2022-04-05,LONG,29.3941,28.6588,28.6588,340,9993.99,-250.0,-250.0,-1.0,stop_loss,3901.5999999999995,13901.599999999999
2022-04-18,2022-04-21,LONG,22.5076,21.9445,21.9445,444,9993.38,-250.0,-250.0,-1.0,stop_loss,3651.5999999999995,13651.599999999999
2022-04-25,2022-04-26,LONG,20.5592,20.0447,20.0447,486,9991.75,-250.0,-250.0,-1.0,stop_loss,3401.5999999999995,13401.599999999999
2022-05-02,2022-05-04,LONG,18.2668,17.8098,17.8098,547,9991.96,-250.0,-250.0,-1.0,stop_loss,3151.5999999999995,13151.599999999999
2022-05-23,2022-05-24,LONG,13.7013,13.3584,13.3584,729,9988.27,-250.0,-250.0,-1.0,stop_loss,2901.5999999999995,12901.599999999999
2022-08-01,2022-08-02,LONG,15.9077,15.5096,15.5096,628,9990.02,-250.0,-250.0,-1.0,stop_loss,2651.5999999999995,12651.599999999999
2022-08-15,2022-08-16,LONG,18.5725,18.1078,18.1078,538,9992.0,-250.0,-250.0,-1.0,stop_loss,2401.5999999999995,12401.599999999999
2022-09-12,2022-09-13,LONG,14.7711,14.4012,14.4012,676,9985.24,-250.0,-250.0,-1.0,stop_loss,2151.5999999999995,12151.599999999999
2022-09-19,2022-09-20,LONG,12.0299,11.729,11.729,831,9996.81,-250.0,-250.0,-1.0,stop_loss,1901.5999999999995,11901.599999999999
2022-10-03,2022-10-07,LONG,9.8665,9.6197,9.6197,1013,9994.75,-250.0,-250.0,-1.0,stop_loss,1651.5999999999995,11651.599999999999
