entry_date,exit_date,direction,entry_price,exit_price,stop_price,shares,notional,gross_pnl,net_pnl,R_multiple,exit_reason,cum_pnl,account_equity,tactical_equity
2021-12-27,2021-12-29,LONG,41.4025,40.3651,40.3651,241,9977.99,-250.0,-250.0,-1.0,stop_loss,7427.25,32427.25,17427.25
2022-01-03,2022-01-04,LONG,40.8628,39.8382,39.8382,244,9970.52,-250.0,-250.0,-1.0,stop_loss,7177.25,32177.25,17177.25
2021-12-20,2022-01-07,LONG,34.9315,34.0573,34.0573,286,9990.4,-250.0,-250.0,-1.0,stop_loss,6927.25,31927.25,16927.25
2022-01-10,2022-01-13,LONG,34.5279,33.6629,33.6629,289,9978.57,-250.0,-250.0,-1.0,stop_loss,6677.25,31677.25,16677.25
2022-01-24,2022-01-25,LONG,27.4552,26.7684,26.7684,364,9993.69,-250.0,-250.0,-1.0,stop_loss,6427.25,31427.25,16427.25
2022-01-31,2022-02-01,LONG,29.5278,28.7882,28.7882,338,9980.4,-250.0,-250.0,-1.0,stop_loss,6177.25,31177.25,16177.25
2022-02-14,2022-02-17,LONG,25.5163,24.8769,24.8769,391,9976.86,-250.0,-250.0,-1.0,stop_loss,5927.25,30927.25,15927.25
2022-02-28,2022-03-01,LONG,25.053,24.4265,24.4265,399,9996.16,-250.0,-250.0,-1.0,stop_loss,5677.25,30677.25,15677.25
2022-03-28,2022-03-31,LONG,28.4246,27.7124,27.7124,351,9977.05,-250.0,-250.0,-1.0,stop_loss,5427.25,30427.25,15427.25
2022-04-04,2022-04-05,LONG,29.3941,28.6588,28.6588,340,9993.99,-250.0,-250.0,-1.0,stop_loss,5177.25,30177.25,15177.25
2022-04-18,2022-04-21,LONG,22.5076,21.9446,21.9446,444,9993.38,-250.0,-250.0,-1.0,stop_loss,4927.25,29927.25,14927.25
2022-04-25,2022-04-26,LONG,20.5591,20.0447,20.0447,486,9991.75,-250.0,-250.0,-1.0,stop_loss,4677.25,29677.25,14677.25
2022-05-02,2022-05-04,LONG,18.2668,17.8098,17.8098,547,9991.96,-250.0,-250.0,-1.0,stop_loss,4427.25,29427.25,14427.25
2022-05-23,2022-05-24,LONG,13.7013,13.3584,13.3584,729,9988.27,-250.0,-250.0,-1.0,stop_loss,4177.25,29177.25,14177.25
2022-08-01,2022-08-02,LONG,15.9077,15.5096,15.5096,628,9990.02,-250.0,-250.0,-1.0,stop_loss,3927.25,28927.25,13927.25
2022-08-15,2022-08-16,LONG,18.5725,18.1078,18.1078,538,9992.0,-250.0,-250.0,-1.0,stop_loss,3677.25,28677.25,13677.25
2022-09-12,2022-09-13,LONG,14.7711,14.4012,14.4012,676,9985.24,-250.0,-250.0,-1.0,stop_loss,3427.25,28427.25,13427.25
2022-09-19,2022-09-20,LONG,12.0298,11.729,11.729,831,9996.8,-250.0,-250.0,-1.0,stop_loss,3177.25,28177.25,13177.25
2022-10-03,2022-10-07,LONG,9.8665,9.6197,9.6197,1013,9994.75,-250.0,-250.0,-1.0,stop_loss,2927.25,27927.25,12927.25
2022-10-17,2022-10-21,LONG,9.217,8.9864,8.9864,1084,9991.22,-250.0,-250.0,-1.0,stop_loss,2677.25,27677.25,12677.25
2022-10-24,2022-10-27,LONG,10.1578,9.9037,9.9037,984,9995.27,-250.0,-250.0,-1.0,stop_loss,2427.25,27427.25,12427.25
2022-11-07,2022-11-09,LONG,8.8445,8.6233,8.6233,1130,9994.28,-250.0,-250.0,-1.0,stop_loss,2177.25,27177.25,12177.25
2022-12-12,2022-12-14,LONG,10.3393,10.0807,10.0807,967,9998.08,-250.0,-250.0,-1.0,stop_loss,1927.25,26927.25,11927.25
2023-01-23,2023-01-25,LONG,10.4313,10.1704,10.1704,958,9993.22,-250.0,-250.0,-1.0,stop_loss,1677.25,26677.25,11677.25
2023-02-06,2023-02-09,LONG,11.9387,11.64,11.64,837,9992.67,-250.0,-250.0,-1.0,stop_loss,1427.25,26427.25,11427.25
2023-02-13,2023-02-14,LONG,11.9771,11.6773,11.6773,834,9988.88,-250.0,-250.0,-1.0,stop_loss,1177.25,26177.25,11177.25
2023-04-03,2023-04-05,LONG,13.5485,13.2098,13.2098,738,9998.82,-250.0,-250.0,-1.0,stop_loss,927.25,25927.25,10927.25
2023-03-13,2023-04-10,LONG,10.2393,13.2154,9.9832,976,9993.58,2904.63,2904.63,11.619,time_exit,3831.88,28831.88,13831.880000000001
2023-04-10,2023-04-12,LONG,13.2154,12.8847,12.8847,756,9990.82,-250.0,-250.0,-1.0,stop_loss,3581.88,28581.88,13581.880000000001
2023-03-20,2023-04-17,LONG,11.9195,13.2781,11.6211,838,9988.52,1138.57,1138.57,4.554,time_exit,4720.45,29720.45,14720.45
2023-04-17,2023-04-20,LONG,13.2781,12.9461,12.9461,753,9998.44,-250.0,-250.0,-1.0,stop_loss,4470.45,29470.45,14470.45
2023-05-01,2023-05-02,LONG,13.6016,13.2615,13.2615,735,9997.21,-250.0,-250.0,-1.0,stop_loss,4220.45,29220.45,14220.45
2023-05-22,2023-05-23,LONG,15.4847,15.0971,15.0971,645,9987.65,-250.0,-250.0,-1.0,stop_loss,3970.45,28970.45,13970.45
2023-05-08,2023-06-05,LONG,13.732,17.8169,13.3886,728,9996.91,2973.77,2973.77,11.895,time_exit,6944.219999999999,31944.22,16944.22
2023-06-05,2023-06-07,LONG,17.8169,17.3712,17.3712,561,9995.26,-250.0,-250.0,-1.0,stop_loss,6694.219999999999,31694.22,16694.22
2023-05-15,2023-06-12,LONG,14.0845,18.5846,13.7324,710,9999.99,3195.06,3195.06,12.78,time_exit,9889.279999999999,34889.28,19889.28
2023-06-12,2023-06-26,LONG,18.5846,18.1199,18.1199,538,9998.5,-250.0,-250.0,-1.0,stop_loss,9639.279999999999,34639.28,19639.28
2023-07-03,2023-07-06,LONG,19.9947,19.4947,19.4947,500,9997.37,-250.0,-250.0,-1.0,stop_loss,9389.279999999999,34389.28,19389.28
2023-07-17,2023-07-20,LONG,21.9128,21.3646,21.3646,456,9992.26,-250.0,-250.0,-1.0,stop_loss,9139.279999999999,34139.28,19139.28
2023-07-10,2023-08-04,LONG,19.3263,19.9269,18.8428,517,9991.7,310.52,310.52,1.242,time_exit,9449.8,34449.8,19449.8
2023-08-07,2023-08-08,LONG,20.421,19.9097,19.9097,489,9985.86,-250.0,-250.0,-1.0,stop_loss,9199.8,34199.8,19199.8
2023-08-14,2023-08-15,LONG,19.5637,19.0744,19.0744,511,9997.03,-250.0,-250.0,-1.0,stop_loss,8949.8,33949.8,18949.8
2023-08-21,2023-08-24,LONG,18.4835,18.0214,18.0214,541,9999.58,-250.0,-250.0,-1.0,stop_loss,8699.8,33699.8,18699.8
2023-09-11,2023-09-12,LONG,20.2854,19.7772,19.7772,492,9980.4,-250.0,-250.0,-1.0,stop_loss,8449.8,33449.8,18449.8
2023-09-18,2023-09-19,LONG,19.2972,18.8146,18.8146,518,9995.97,-250.0,-250.0,-1.0,stop_loss,8199.8,33199.8,18199.8
2023-09-25,2023-09-26,LONG,17.5473,17.1079,17.1079,569,9984.42,-250.0,-250.0,-1.0,stop_loss,7949.799999999999,32949.8,17949.8
2023-10-02,2023-10-03,LONG,17.7271,17.2839,17.2839,564,9998.11,-250.0,-250.0,-1.0,stop_loss,7699.799999999999,32699.8,17699.8
2023-10-09,2023-10-17,LONG,18.4222,17.961,17.961,542,9984.85,-250.0,-250.0,-1.0,stop_loss,7449.799999999999,32449.8,17449.8
2023-10-16,2023-10-17,LONG,18.7965,18.3266,18.3266,532,9999.75,-250.0,-250.0,-1.0,stop_loss,7199.799999999999,32199.8,17199.8
2023-10-23,2023-10-25,LONG,16.7161,16.2981,16.2981,598,9996.24,-250.0,-250.0,-1.0,stop_loss,6949.799999999999,31949.8,16949.8
2023-11-20,2023-11-21,LONG,21.7275,21.1841,21.1841,460,9994.67,-250.0,-250.0,-1.0,stop_loss,6699.799999999999,31699.8,16699.8
2023-10-30,2023-11-27,LONG,15.7051,21.4116,15.312,636,9988.43,3629.35,3629.35,14.517,time_exit,10329.15,35329.15,20329.15
2023-11-27,2023-11-30,LONG,21.4116,20.8763,20.8763,467,9999.22,-250.0,-250.0,-1.0,stop_loss,10079.15,35079.15,20079.15
2023-11-06,2023-12-04,LONG,18.4757,20.8915,18.0136,541,9995.36,1306.94,1306.94,5.228,time_exit,11386.09,36386.09,21386.09
2023-11-13,2023-12-11,LONG,19.6374,22.3449,19.1463,509,9995.45,1378.09,1378.09,5.512,time_exit,12764.18,37764.18,22764.18
2023-12-18,2023-12-20,LONG,24.435,23.8237,23.8237,409,9993.91,-250.0,-250.0,-1.0,stop_loss,12514.18,37514.18,22514.18
2023-12-04,2024-01-02,LONG,20.8915,23.4975,20.3685,478,9986.14,1245.66,1245.66,4.983,time_exit,13759.84,38759.84,23759.84
2023-12-11,2024-01-09,LONG,22.3449,23.9564,21.7856,447,9988.15,720.36,720.36,2.881,time_exit,14480.2,39480.2,24480.2
2024-01-29,2024-01-30,LONG,27.8621,27.1638,27.1638,358,9974.62,-250.0,-250.0,-1.0,stop_loss,14230.2,39230.2,24230.2
2024-01-08,2024-02-05,LONG,23.8002,27.8035,23.2049,420,9996.07,1681.39,1681.39,6.726,time_exit,15911.59,40911.59,25911.59
2024-03-25,2024-04-02,LONG,30.3733,29.6134,29.6134,329,9992.8,-250.0,-250.0,-1.0,stop_loss,15661.59,40661.59,25661.59
2024-04-01,2024-04-02,LONG,30.3488,29.5889,29.5889,329,9984.74,-250.0,-250.0,-1.0,stop_loss,15411.59,40411.59,25411.59
2024-04-22,2024-05-17,LONG,24.9493,30.8387,24.3243,400,9979.71,2355.78,2355.78,9.423,time_exit,17767.37,42767.369999999995,27767.37
2024-05-20,2024-05-30,LONG,31.4757,30.687,30.687,317,9977.79,-250.0,-250.0,-1.0,stop_loss,17517.37,42517.369999999995,27517.37
2024-05-06,2024-06-03,LONG,28.6927,30.9367,27.9743,348,9985.05,780.93,780.93,3.124,time_exit,18298.3,43298.3,28298.3
2024-06-17,2024-06-20,LONG,37.6591,36.7157,36.7157,265,9979.67,-250.0,-250.0,-1.0,stop_loss,18048.3,43048.3,28048.3
2024-06-10,2024-07-09,LONG,33.2347,40.5034,32.4014,300,9970.41,2180.6,2180.6,8.722,time_exit,20228.899999999998,45228.899999999994,30228.899999999998
2024-07-08,2024-07-11,LONG,40.4148,39.4027,39.4027,247,9982.47,-250.0,-250.0,-1.0,stop_loss,19978.899999999998,44978.899999999994,29978.899999999998
2024-07-01,2024-07-18,LONG,36.9031,35.9771,35.9771,270,9963.83,-250.0,-250.0,-1.0,stop_loss,19728.899999999998,44728.899999999994,29728.899999999998
2024-07-22,2024-07-24,LONG,36.4752,35.5628,35.5628,274,9994.2,-250.0,-250.0,-1.0,stop_loss,19478.899999999998,44478.899999999994,29478.899999999998
2024-08-19,2024-08-22,LONG,35.0685,34.1913,34.1913,285,9994.52,-250.0,-250.0,-1.0,stop_loss,19228.899999999998,44228.899999999994,29228.899999999998
2024-08-05,2024-08-30,LONG,26.3727,33.7454,25.7131,379,9995.25,2794.27,2794.27,11.177,time_exit,22023.17,47023.17,32023.17
2024-08-12,2024-09-06,LONG,29.1418,28.4129,28.4129,343,9995.63,-250.0,-250.0,-1.0,stop_loss,21773.17,46773.17,31773.17
2024-09-23,2024-10-01,LONG,34.7488,33.8777,33.8777,287,9972.91,-250.0,-250.0,-1.0,stop_loss,21523.17,46523.17,31523.17
2024-09-30,2024-10-01,LONG,35.7686,34.8726,34.8726,279,9979.44,-250.0,-250.0,-1.0,stop_loss,21273.17,46273.17,31273.17
2024-09-09,2024-10-04,LONG,29.0729,35.512,28.3441,343,9972.01,2208.62,2208.62,8.834,time_exit,23481.789999999997,48481.78999999999,33481.78999999999
2024-09-16,2024-10-11,LONG,32.683,36.6617,31.8634,305,9968.33,1213.49,1213.49,4.854,time_exit,24695.28,49695.28,34695.28
2024-10-14,2024-10-15,LONG,37.5992,36.6558,36.6558,265,9963.8,-250.0,-250.0,-1.0,stop_loss,24445.28,49445.28,34445.28
2024-10-21,2024-10-23,LONG,37.0318,36.1059,36.1059,270,9998.58,-250.0,-250.0,-1.0,stop_loss,24195.28,49195.28,34195.28
2024-11-18,2024-12-16,LONG,37.387,46.0319,36.4507,267,9982.34,2308.18,2308.18,9.233,time_exit,26503.46,51503.46,36503.46
2024-12-16,2024-12-18,LONG,46.0319,44.8798,44.8798,217,9988.93,-250.0,-250.0,-1.0,stop_loss,26253.46,51253.46,36253.46
2024-12-02,2024-12-20,LONG,40.698,39.6776,39.6776,245,9971.0,-250.0,-250.0,-1.0,stop_loss,26003.46,51003.46,36003.46
2024-12-23,2024-12-27,LONG,42.1105,41.0556,41.0556,237,9980.18,-250.0,-250.0,-1.0,stop_loss,25753.46,50753.46,35753.46
2024-12-30,2024-12-31,LONG,40.2292,39.2212,39.2212,248,9976.85,-250.0,-250.0,-1.0,stop_loss,25503.46,50503.46,35503.46
2025-01-06,2025-01-07,LONG,42.1847,41.1299,41.1299,237,9997.78,-250.0,-250.0,-1.0,stop_loss,25253.46,50253.46,35253.46
2025-01-13,2025-02-10,LONG,37.64,42.3976,36.6966,265,9974.6,1260.77,1260.77,5.043,time_exit,26514.23,51514.229999999996,36514.229999999996
2025-02-10,2025-02-12,LONG,42.3976,41.3338,41.3338,235,9963.44,-250.0,-250.0,-1.0,stop_loss,26264.23,51264.229999999996,36264.229999999996
2025-01-27,2025-02-24,LONG,39.1797,39.952,38.1993,255,9990.82,196.94,196.94,0.788,time_exit,26461.17,51461.17,36461.17
2025-02-03,2025-02-25,LONG,39.9619,38.9619,38.9619,250,9990.47,-250.0,-250.0,-1.0,stop_loss,26211.17,51211.17,36211.17
2025-03-17,2025-03-18,LONG,31.2338,30.4526,30.4526,320,9994.83,-250.0,-250.0,-1.0,stop_loss,25961.17,50961.17,35961.17
2025-03-24,2025-03-26,LONG,32.7388,31.9192,31.9192,305,9985.35,-250.0,-250.0,-1.0,stop_loss,25711.17,50711.17,35711.17
2025-03-31,2025-04-01,LONG,28.4511,27.7388,27.7388,351,9986.33,-250.0,-250.0,-1.0,stop_loss,25461.17,50461.17,35461.17
2025-04-07,2025-04-08,LONG,20.4818,19.9695,19.9695,488,9995.12,-250.0,-250.0,-1.0,stop_loss,25211.17,50211.17,35211.17
2025-05-05,2025-05-06,LONG,28.9973,28.2705,28.2705,344,9975.06,-250.0,-250.0,-1.0,stop_loss,24961.17,49961.17,34961.17
2025-05-19,2025-05-20,LONG,35.5713,34.6816,34.6816,281,9995.54,-250.0,-250.0,-1.0,stop_loss,24711.17,49711.17,34711.17
2025-05-12,2025-06-09,LONG,32.8255,37.0112,32.0031,304,9978.95,1272.46,1272.46,5.09,time_exit,25983.629999999997,50983.63,35983.63
2025-06-09,2025-06-13,LONG,37.0112,36.0853,36.0853,270,9993.03,-250.0,-250.0,-1.0,stop_loss,25733.629999999997,50733.63,35733.63
2025-06-16,2025-06-17,LONG,37.6369,36.6935,36.6935,265,9973.77,-250.0,-250.0,-1.0,stop_loss,25483.629999999997,50483.63,35483.63
2025-06-02,2025-06-30,LONG,35.5564,41.3272,34.6667,281,9991.35,1621.6,1621.6,6.486,time_exit,27105.229999999996,52105.229999999996,37105.229999999996
2025-06-30,2025-07-01,LONG,41.3272,40.2899,40.2899,241,9959.86,-250.0,-250.0,-1.0,stop_loss,26855.229999999996,51855.229999999996,36855.229999999996
2025-07-14,2025-07-16,LONG,42.1289,41.074,41.074,237,9984.54,-250.0,-250.0,-1.0,stop_loss,26605.229999999996,51605.229999999996,36605.229999999996
2025-06-23,2025-07-21,LONG,37.0907,43.8517,36.1613,269,9977.39,1818.71,1818.71,7.275,time_exit,28423.939999999995,53423.939999999995,38423.939999999995
2025-07-21,2025-07-22,LONG,43.8517,42.7552,42.7552,228,9998.18,-250.0,-250.0,-1.0,stop_loss,28173.939999999995,53173.939999999995,38173.939999999995
2025-07-28,2025-08-01,LONG,44.7081,43.587,43.587,223,9969.9,-250.0,-250.0,-1.0,stop_loss,27923.939999999995,52923.939999999995,37923.939999999995
2025-08-18,2025-08-19,LONG,46.3761,45.2133,45.2133,215,9970.86,-250.0,-250.0,-1.0,stop_loss,27673.939999999995,52673.939999999995,37673.939999999995
2025-08-04,2025-08-20,LONG,43.5479,42.4562,42.4562,229,9972.48,-250.0,-250.0,-1.0,stop_loss,27423.939999999995,52423.939999999995,37423.939999999995
2025-09-15,2025-09-17,LONG,49.4084,48.1708,48.1708,202,9980.5,-250.0,-250.0,-1.0,stop_loss,27173.939999999995,52173.939999999995,37173.939999999995
2025-09-22,2025-09-23,LONG,52.142,50.8331,50.8331,191,9959.12,-250.0,-250.0,-1.0,stop_loss,26923.939999999995,51923.939999999995,36923.939999999995
2025-09-08,2025-10-03,LONG,46.3711,52.1819,45.2083,215,9969.79,1249.31,1249.31,4.997,time_exit,28173.249999999996,53173.25,38173.25
2025-10-13,2025-10-14,LONG,51.4492,50.1606,50.1606,194,9981.15,-250.0,-250.0,-1.0,stop_loss,27923.249999999996,52923.25,37923.25
2025-10-20,2025-10-22,LONG,53.7718,52.4204,52.4204,185,9947.78,-250.0,-250.0,-1.0,stop_loss,27673.249999999996,52673.25,37673.25
2025-10-27,2025-11-04,LONG,58.028,56.5746,56.5746,172,9980.82,-250.0,-250.0,-1.0,stop_loss,27423.249999999996,52423.25,37423.25
2025-11-10,2025-11-11,LONG,56.174,54.7695,54.7695,178,9998.98,-250.0,-250.0,-1.0,stop_loss,27173.249999999996,52173.25,37173.25
2025-11-24,2025-11-25,LONG,50.916,49.6405,49.6405,196,9979.53,-250.0,-250.0,-1.0,stop_loss,26923.249999999996,51923.25,36923.25
2025-12-01,2025-12-12,LONG,53.8764,52.5251,52.5251,185,9967.14,-250.0,-250.0,-1.0,stop_loss,26673.249999999996,51673.25,36673.25
2025-12-29,2025-12-31,LONG,54.4001,53.0339,53.0339,183,9955.21,-250.0,-250.0,-1.0,stop_loss,26423.249999999996,51423.25,36423.25
2026-01-12,2026-01-14,LONG,55.7977,54.4011,54.4011,179,9987.8,-250.0,-250.0,-1.0,stop_loss,26173.249999999996,51173.25,36173.25
2026-01-26,2026-01-29,LONG,54.9891,53.6079,53.6079,181,9953.02,-250.0,-250.0,-1.0,stop_loss,25923.249999999996,50923.25,35923.25
2026-02-02,2026-02-03,LONG,55.009,53.6278,53.6278,181,9956.64,-250.0,-250.0,-1.0,stop_loss,25673.249999999996,50673.25,35673.25
2026-02-09,2026-02-11,LONG,51.6546,50.3593,50.3593,193,9969.34,-250.0,-250.0,-1.0,stop_loss,25423.249999999996,50423.25,35423.25
2026-03-02,2026-03-03,LONG,49.618,48.3742,48.3742,201,9973.21,-250.0,-250.0,-1.0,stop_loss,25173.249999999996,50173.25,35173.25
2026-03-09,2026-03-12,LONG,49.3085,48.0709,48.0709,202,9960.31,-250.0,-250.0,-1.0,stop_loss,24923.249999999996,49923.25,34923.25
2026-03-16,2026-03-18,LONG,47.3817,46.1968,46.1968,211,9997.53,-250.0,-250.0,-1.0,stop_loss,24673.249999999996,49673.25,34673.25
2026-04-06,2026-04-07,LONG,44.1,42.9938,42.9938,226,9966.6,-250.0,-250.0,-1.0,stop_loss,24423.249999999996,49423.25,34423.25
2026-04-13,2026-04-24,LONG,50.66,62.56,49.391,197,9980.02,2344.3,2344.3,9.377,time_exit,26767.549999999996,51767.549999999996,36767.549999999996
