entry_date,exit_date,direction,entry_price,exit_price,stop_price,shares,notional,gross_pnl,net_pnl,R_multiple,exit_reason,cum_pnl,equity
2021-03-29,2021-03-30,LONG,21.1561,20.6264,20.6264,472,9985.68,-250.0,-250.0,-1.0,stop_loss,-250.0,9750.0
2021-04-12,2021-04-21,LONG,25.5139,24.8745,24.8745,391,9975.93,-250.0,-250.0,-1.0,stop_loss,-500.0,9500.0
2021-04-19,2021-04-27,SHORT,25.97,26.6193,26.6193,385,9998.43,-250.0,-250.0,-1.0,stop_loss,-750.0,9250.0
2021-04-26,2021-04-28,LONG,26.5574,25.8925,25.8925,376,9985.57,-250.0,-250.0,-1.0,stop_loss,-1000.0,9000.0
2021-04-05,2021-05-04,LONG,24.2746,23.6663,23.6663,411,9976.86,-250.0,-250.0,-1.0,stop_loss,-1250.0,8750.0
2021-05-10,2021-05-20,SHORT,22.9231,23.4965,23.4965,436,9994.47,-250.0,-250.0,-1.0,stop_loss,-1500.0,8500.0
2021-05-17,2021-05-20,SHORT,22.5291,23.0934,23.0934,443,9980.4,-250.0,-250.0,-1.0,stop_loss,-1750.0,8250.0
2021-05-24,2021-06-03,LONG,24.1839,23.5785,23.5785,413,9987.94,-250.0,-250.0,-1.0,stop_loss,-2000.0,8000.0
2021-05-03,2021-06-07,SHORT,25.287,25.0483,25.92,395,9988.38,94.32,94.32,0.377,time_exit,-1905.68,8094.32
2021-06-14,2021-06-15,LONG,26.8105,26.1384,26.1384,372,9973.5,-250.0,-250.0,-1.0,stop_loss,-2155.6800000000003,7844.32
2021-06-07,2021-07-12,LONG,25.0483,31.2256,24.4217,399,9994.25,2464.74,2464.74,9.859,time_exit,309.0599999999995,10309.06
2021-07-12,2021-07-13,SHORT,31.2256,32.0068,32.0068,320,9992.18,-250.0,-250.0,-1.0,stop_loss,59.05999999999949,10059.06
2021-06-21,2021-07-26,LONG,26.8415,32.7442,26.1695,372,9985.04,2195.8,2195.8,8.783,time_exit,2254.8599999999997,12254.86
2021-07-26,2021-07-27,LONG,32.7442,31.9245,31.9245,305,9986.98,-250.0,-250.0,-1.0,stop_loss,2004.8599999999997,12004.86
2021-06-28,2021-08-02,LONG,29.0526,31.6864,28.3259,344,9994.11,906.02,906.02,3.624,time_exit,2910.8799999999997,12910.88
2021-08-02,2021-08-04,SHORT,31.6864,32.4801,32.4801,315,9981.22,-250.0,-250.0,-1.0,stop_loss,2660.8799999999997,12660.88
2021-08-09,2021-08-10,LONG,32.7514,31.9317,31.9317,305,9989.17,-250.0,-250.0,-1.0,stop_loss,2410.8799999999997,12410.88
2021-08-16,2021-08-17,LONG,32.8039,31.9815,31.9815,304,9972.39,-250.0,-250.0,-1.0,stop_loss,2160.8799999999997,12160.88
2021-07-19,2021-08-20,LONG,29.2556,32.4266,28.5225,341,9976.16,1081.32,1081.32,4.325,time_exit,3242.2,13242.2
2021-08-30,2021-09-10,LONG,35.7958,34.8998,34.8998,279,9987.04,-250.0,-250.0,-1.0,stop_loss,2992.2,12992.2
2021-08-23,2021-09-20,LONG,33.8713,33.0238,33.0238,295,9992.02,-250.0,-250.0,-1.0,stop_loss,2742.2,12742.2
2021-09-20,2021-09-22,SHORT,31.875,32.6738,32.6738,313,9976.89,-250.0,-250.0,-1.0,stop_loss,2492.2,12492.2
2021-09-27,2021-09-28,LONG,33.0403,32.2125,32.2125,302,9978.17,-250.0,-250.0,-1.0,stop_loss,2242.2,12242.2
2021-10-04,2021-10-05,SHORT,28.4246,29.1369,29.1369,351,9977.05,-250.0,-250.0,-1.0,stop_loss,1992.1999999999998,11992.2
2021-10-11,2021-10-14,SHORT,29.7642,30.5105,30.5105,335,9971.01,-250.0,-250.0,-1.0,stop_loss,1742.1999999999998,11742.2
2021-09-13,2021-10-15,SHORT,34.676,32.4051,35.544,288,9986.68,654.0,654.0,2.616,time_exit,2396.2,12396.2
2021-11-15,2021-11-17,SHORT,39.4946,40.4827,40.4827,253,9992.13,-250.0,-250.0,-1.0,stop_loss,2146.2,12146.2
2021-11-08,2021-11-18,SHORT,40.5595,41.5758,41.5758,246,9977.65,-250.0,-250.0,-1.0,stop_loss,1896.1999999999998,11896.2
2021-10-18,2021-11-19,LONG,33.377,42.2979,32.5409,299,9979.72,2667.35,2667.35,10.669,time_exit,4563.549999999999,14563.55
2021-10-25,2021-11-29,LONG,34.7476,40.7912,33.8765,287,9972.56,1734.51,1734.51,6.938,time_exit,6298.0599999999995,16298.06
2021-11-29,2021-11-30,LONG,40.7912,39.7708,39.7708,245,9993.84,-250.0,-250.0,-1.0,stop_loss,6048.0599999999995,16048.06
2021-11-01,2021-12-02,LONG,37.4148,36.4785,36.4785,267,9989.75,-250.0,-250.0,-1.0,stop_loss,5798.0599999999995,15798.06
2021-12-13,2021-12-15,SHORT,38.2696,39.2275,39.2275,261,9988.37,-250.0,-250.0,-1.0,stop_loss,5548.0599999999995,15548.06
2021-12-06,2021-12-17,LONG,36.6746,35.7555,35.7555,272,9975.48,-250.0,-250.0,-1.0,stop_loss,5298.0599999999995,15298.06
2021-11-22,2021-12-28,SHORT,40.8318,40.9153,41.8564,244,9962.95,-20.39,-20.39,-0.082,time_exit,5277.669999999999,15277.669999999998
2021-12-27,2021-12-29,LONG,41.4025,40.3651,40.3651,241,9977.99,-250.0,-250.0,-1.0,stop_loss,5027.669999999999,15027.669999999998
2022-01-03,2022-01-04,LONG,40.8628,39.8382,39.8382,244,9970.53,-250.0,-250.0,-1.0,stop_loss,4777.669999999999,14777.669999999998
2021-12-20,2022-01-07,LONG,34.9314,34.0573,34.0573,286,9990.39,-250.0,-250.0,-1.0,stop_loss,4527.669999999999,14527.669999999998
2022-01-10,2022-01-13,LONG,34.5279,33.6629,33.6629,289,9978.57,-250.0,-250.0,-1.0,stop_loss,4277.669999999999,14277.669999999998
2022-01-24,2022-01-25,LONG,27.4552,26.7684,26.7684,364,9993.69,-250.0,-250.0,-1.0,stop_loss,4027.669999999999,14027.669999999998
2022-01-31,2022-02-01,LONG,29.5278,28.7882,28.7882,338,9980.4,-250.0,-250.0,-1.0,stop_loss,3777.669999999999,13777.669999999998
2022-02-07,2022-02-08,SHORT,27.3979,28.0847,28.0847,364,9972.83,-250.0,-250.0,-1.0,stop_loss,3527.669999999999,13527.669999999998
2022-02-14,2022-02-17,LONG,25.5163,24.8769,24.8769,391,9976.86,-250.0,-250.0,-1.0,stop_loss,3277.669999999999,13277.669999999998
2022-02-28,2022-03-01,LONG,25.053,24.4265,24.4265,399,9996.16,-250.0,-250.0,-1.0,stop_loss,3027.669999999999,13027.669999999998
2022-03-07,2022-03-08,SHORT,20.4016,20.9118,20.9118,490,9996.76,-250.0,-250.0,-1.0,stop_loss,2777.669999999999,12777.669999999998
2022-03-14,2022-03-15,SHORT,19.0357,19.5119,19.5119,525,9993.75,-250.0,-250.0,-1.0,stop_loss,2527.669999999999,12527.669999999998
2022-03-21,2022-03-22,SHORT,25.2106,25.8419,25.8419,396,9983.41,-250.0,-250.0,-1.0,stop_loss,2277.669999999999,12277.669999999998
2022-03-28,2022-03-31,LONG,28.4246,27.7124,27.7124,351,9977.05,-250.0,-250.0,-1.0,stop_loss,2027.6699999999992,12027.669999999998
2022-04-04,2022-04-05,LONG,29.3941,28.6588,28.6588,340,9993.99,-250.0,-250.0,-1.0,stop_loss,1777.6699999999992,11777.669999999998
2022-04-11,2022-04-12,SHORT,22.9995,23.5755,23.5755,434,9981.79,-250.0,-250.0,-1.0,stop_loss,1527.6699999999992,11527.669999999998
2022-04-18,2022-04-21,LONG,22.5076,21.9446,21.9446,444,9993.38,-250.0,-250.0,-1.0,stop_loss,1277.6699999999992,11277.669999999998
2022-04-25,2022-04-26,LONG,20.5592,20.0447,20.0447,486,9991.75,-250.0,-250.0,-1.0,stop_loss,1027.6699999999992,11027.669999999998
2022-05-02,2022-05-04,LONG,18.2668,17.8098,17.8098,547,9991.96,-250.0,-250.0,-1.0,stop_loss,777.6699999999992,10777.669999999998
2022-05-09,2022-05-10,SHORT,14.5753,14.9397,14.9397,686,9998.63,-250.0,-250.0,-1.0,stop_loss,527.6699999999992,10527.669999999998
2022-05-16,2022-05-17,SHORT,14.6374,15.0034,15.0034,683,9997.31,-250.0,-250.0,-1.0,stop_loss,277.66999999999916,10277.669999999998
2022-05-23,2022-05-24,LONG,13.7013,13.3584,13.3584,729,9988.26,-250.0,-250.0,-1.0,stop_loss,27.669999999999163,10027.669999999998
2022-06-06,2022-06-07,SHORT,15.54,15.9288,15.9288,643,9992.19,-250.0,-250.0,-1.0,stop_loss,-222.33000000000084,9777.669999999998
2022-06-13,2022-06-14,SHORT,11.0222,11.2978,11.2978,907,9997.13,-250.0,-250.0,-1.0,stop_loss,-472.33000000000084,9527.669999999998
2022-06-27,2022-06-28,SHORT,13.0471,13.3734,13.3734,766,9994.05,-250.0,-250.0,-1.0,stop_loss,-722.3300000000008,9277.669999999998
2022-07-11,2022-07-12,SHORT,12.4692,12.7813,12.7813,801,9987.84,-250.0,-250.0,-1.0,stop_loss,-972.3300000000008,9027.669999999998
2022-07-18,2022-07-19,SHORT,12.4979,12.8104,12.8104,800,9998.29,-250.0,-250.0,-1.0,stop_loss,-1222.3300000000008,8777.669999999998
2022-07-25,2022-07-27,SHORT,13.8924,14.2401,14.2401,719,9988.6,-250.0,-250.0,-1.0,stop_loss,-1472.3300000000008,8527.669999999998
2022-08-01,2022-08-02,LONG,15.9077,15.5096,15.5096,628,9990.02,-250.0,-250.0,-1.0,stop_loss,-1722.3300000000008,8277.669999999998
2022-08-08,2022-08-10,SHORT,16.6813,17.0987,17.0987,599,9992.11,-250.0,-250.0,-1.0,stop_loss,-1972.3300000000008,8027.669999999999
2022-08-15,2022-08-16,LONG,18.5725,18.1078,18.1078,538,9992.0,-250.0,-250.0,-1.0,stop_loss,-2222.330000000001,7777.669999999999
2022-08-22,2022-08-25,SHORT,15.5543,15.9437,15.9437,642,9985.84,-250.0,-250.0,-1.0,stop_loss,-2472.330000000001,7527.669999999999
2022-08-29,2022-09-12,SHORT,13.9974,14.3476,14.3476,714,9994.15,-250.0,-250.0,-1.0,stop_loss,-2722.330000000001,7277.669999999999
2022-09-12,2022-09-13,LONG,14.7711,14.4012,14.4012,676,9985.24,-250.0,-250.0,-1.0,stop_loss,-2972.330000000001,7027.669999999999
2022-09-19,2022-09-20,LONG,12.0299,11.729,11.729,831,9996.81,-250.0,-250.0,-1.0,stop_loss,-3222.330000000001,6777.669999999999
2022-09-26,2022-09-27,SHORT,10.0384,10.2894,10.2894,996,9998.25,-250.0,-250.0,-1.0,stop_loss,-3472.330000000001,6527.669999999999
2022-10-03,2022-10-07,LONG,9.8665,9.6197,9.6197,1013,9994.75,-250.0,-250.0,-1.0,stop_loss,-3722.330000000001,6277.669999999999
2022-10-10,2022-10-13,SHORT,9.0212,9.2468,9.2468,1108,9995.48,-250.0,-250.0,-1.0,stop_loss,-3972.330000000001,6027.669999999999
2022-10-17,2022-10-21,LONG,9.217,8.9864,8.9864,1084,9991.22,-250.0,-250.0,-1.0,stop_loss,-4222.330000000001,5777.669999999999
2022-10-24,2022-10-27,LONG,10.1578,9.9037,9.9037,984,9995.27,-250.0,-250.0,-1.0,stop_loss,-4472.330000000001,5527.669999999999
2022-10-31,2022-11-01,SHORT,10.005,10.2552,10.2552,999,9994.97,-250.0,-250.0,-1.0,stop_loss,-4722.330000000001,5277.669999999999
2022-11-07,2022-11-09,LONG,8.8445,8.6233,8.6233,1130,9994.28,-250.0,-250.0,-1.0,stop_loss,-4972.330000000001,5027.669999999999
2022-11-14,2022-11-15,SHORT,10.5398,10.8036,10.8036,948,9991.78,-250.0,-250.0,-1.0,stop_loss,-5222.330000000001,4777.669999999999
2022-11-21,2022-11-22,SHORT,10.1148,10.3679,10.3679,988,9993.44,-250.0,-250.0,-1.0,stop_loss,-5472.330000000001,4527.669999999999
2022-11-28,2022-11-30,SHORT,10.1626,10.4166,10.4166,984,9999.97,-250.0,-250.0,-1.0,stop_loss,-5722.330000000001,4277.669999999999
2022-12-05,2022-12-13,SHORT,10.6163,10.8819,10.8819,941,9989.9,-250.0,-250.0,-1.0,stop_loss,-5972.330000000001,4027.669999999999
2022-12-12,2022-12-14,LONG,10.3393,10.0807,10.0807,967,9998.07,-250.0,-250.0,-1.0,stop_loss,-6222.330000000001,3777.669999999999
2022-12-19,2022-12-21,SHORT,8.7251,8.9433,8.9433,1146,9998.97,-250.0,-250.0,-1.0,stop_loss,-6472.330000000001,3527.669999999999
2023-01-09,2023-01-10,SHORT,8.6456,8.8618,8.8618,1156,9994.29,-250.0,-250.0,-1.0,stop_loss,-6722.330000000001,3277.669999999999
2023-01-23,2023-01-25,LONG,10.4313,10.1704,10.1704,958,9993.22,-250.0,-250.0,-1.0,stop_loss,-6972.330000000001,3027.669999999999
2023-01-30,2023-01-31,SHORT,10.5273,10.7908,10.7908,949,9990.45,-250.0,-250.0,-1.0,stop_loss,-7222.330000000001,2777.669999999999
2023-02-06,2023-02-09,LONG,11.9387,11.64,11.64,837,9992.67,-250.0,-250.0,-1.0,stop_loss,-7472.330000000001,2527.669999999999
2023-02-13,2023-02-14,LONG,11.9771,11.6773,11.6773,834,9988.88,-250.0,-250.0,-1.0,stop_loss,-7722.330000000001,2277.669999999999
2023-02-27,2023-03-03,SHORT,10.6762,10.9433,10.9433,936,9992.88,-250.0,-250.0,-1.0,stop_loss,-7972.330000000001,2027.6699999999992
2023-03-06,2023-03-16,SHORT,11.3098,11.5926,11.5926,884,9997.88,-250.0,-250.0,-1.0,stop_loss,-8222.330000000002,1777.6699999999983
2023-03-27,2023-03-29,SHORT,12.2111,12.5167,12.5167,818,9988.65,-250.0,-250.0,-1.0,stop_loss,-8472.330000000002,1527.6699999999983
2023-04-03,2023-04-05,LONG,13.5485,13.2098,13.2098,738,9998.82,-250.0,-250.0,-1.0,stop_loss,-8722.330000000002,1277.6699999999983
2023-04-10,2023-04-12,LONG,13.2154,12.8847,12.8847,756,9990.83,-250.0,-250.0,-1.0,stop_loss,-8972.330000000002,1027.6699999999983
2023-03-13,2023-04-17,LONG,10.2393,13.2781,9.9832,976,9993.57,2965.9,2965.9,11.864,time_exit,-6006.430000000002,3993.569999999998
2023-04-17,2023-04-20,LONG,13.2781,12.9461,12.9461,753,9998.44,-250.0,-250.0,-1.0,stop_loss,-6256.430000000002,3743.569999999998
2023-03-20,2023-04-24,LONG,11.9195,12.8967,11.6211,838,9988.52,818.92,818.92,3.276,time_exit,-5437.510000000002,4562.489999999998
2023-04-24,2023-04-27,SHORT,12.8967,13.2193,13.2193,775,9994.94,-250.0,-250.0,-1.0,stop_loss,-5687.510000000002,4312.489999999998
2023-05-01,2023-05-02,LONG,13.6017,13.2615,13.2615,735,9997.21,-250.0,-250.0,-1.0,stop_loss,-5937.510000000002,4062.489999999998
2023-05-22,2023-05-23,LONG,15.4847,15.0971,15.0971,645,9987.65,-250.0,-250.0,-1.0,stop_loss,-6187.510000000002,3812.489999999998
2023-06-05,2023-06-07,LONG,17.8169,17.3712,17.3712,561,9995.26,-250.0,-250.0,-1.0,stop_loss,-6437.510000000002,3562.489999999998
2023-05-08,2023-06-12,LONG,13.732,18.5846,13.3886,728,9996.91,3532.66,3532.66,14.131,time_exit,-2904.850000000002,7095.149999999998
2023-05-15,2023-06-20,LONG,14.0845,19.6034,13.7324,710,9999.99,3918.41,3918.41,15.674,time_exit,1013.5599999999977,11013.559999999998
2023-06-12,2023-06-26,LONG,18.5846,18.1199,18.1199,538,9998.5,-250.0,-250.0,-1.0,stop_loss,763.5599999999977,10763.559999999998
2023-06-26,2023-06-27,SHORT,18.1202,18.574,18.574,551,9984.25,-250.0,-250.0,-1.0,stop_loss,513.5599999999977,10513.559999999998
2023-07-03,2023-07-06,LONG,19.9947,19.4947,19.4947,500,9997.37,-250.0,-250.0,-1.0,stop_loss,263.5599999999977,10263.559999999998
2023-07-17,2023-07-20,LONG,21.9128,21.3646,21.3646,456,9992.26,-250.0,-250.0,-1.0,stop_loss,13.559999999997672,10013.559999999998
2023-07-24,2023-07-25,SHORT,20.76,21.2798,21.2798,481,9985.58,-250.0,-250.0,-1.0,stop_loss,-236.44000000000233,9763.559999999998
