strategy,trades,total_pnl,final_account,final_tactical,account_total_return,tactical_total_return,win_rate,avg_win,avg_loss,profit_factor,max_drawdown_account,avg_R,median_R,stop_rate
Monday-Up → Long TQQQ (Long Only),146,8154.01,33154.01,18154.01,0.3262,0.8154,0.3356,655.15,-246.89,1.34,-0.2032,0.223,-1.0,0.6507
Monday-Up Long / Monday-Down Short TQQQ,237,3625.76,28625.76,13625.76,0.145,0.3626,0.2827,674.2,-244.39,1.087,-0.3668,0.061,-1.0,0.692
