entry_date,entry_time,exit_date,exit_time,entry_price,exit_price,stop_price,shares,notional,gross_pnl,net_pnl,R_multiple,exit_reason,cum_pnl,account_equity,tactical_equity
2026-02-09,09:30,2026-02-10,15:30,50.385,51.02,49.1224,198,9976.23,125.73,125.73,0.503,time_exit,125.73,25125.73,10125.73
2026-03-02,09:30,2026-03-03,09:30,48.7379,47.5184,47.5184,205,9991.27,-250.0,-250.0,-1.0,stop_loss,-124.27,24875.73,9875.73
2026-03-16,09:30,2026-03-17,15:30,47.8199,48.165,46.6237,209,9994.36,72.13,72.13,0.289,time_exit,-52.14,24947.86,9947.86
2026-03-23,09:30,2026-03-23,11:30,45.68,44.5332,44.5332,218,9958.24,-250.0,-250.0,-1.0,stop_loss,-302.14,24697.86,9697.86
2026-04-06,09:30,2026-04-07,09:30,44.3688,43.2577,43.2577,225,9982.98,-250.0,-250.0,-1.0,stop_loss,-552.14,24447.86,9447.86
2026-04-13,09:30,2026-04-14,15:30,49.3102,53.425,48.0726,202,9960.66,831.19,831.19,3.325,time_exit,279.05000000000007,25279.05,10279.05
