entry_date,exit_date,entry_price,exit_price,stop_price,qqq_close,qqq_ma20,qqq_ma65,shares,notional,gross_pnl,net_pnl,R_multiple,exit_reason,cum_pnl,account_equity,tactical_equity
2021-03-29,2021-03-30,21.1561,20.6264,20.6264,306.5685,304.1489,,472,9985.68,-250.0,-250.0,-1.0,stop_loss,-250.0,24750.0,9750.0
2021-04-05,2021-04-16,24.2746,26.6982,23.6663,321.2608,306.5892,310.0185,411,9976.86,996.11,996.11,3.984,time_exit,746.11,25746.11,10746.11
2021-04-12,2021-04-21,25.5139,24.8745,24.8745,326.7147,312.2746,311.7779,391,9975.93,-250.0,-250.0,-1.0,stop_loss,496.11,25496.11,10496.11
2021-04-26,2021-04-28,26.5574,25.8925,25.8925,331.528,323.5336,315.1284,376,9985.57,-250.0,-250.0,-1.0,stop_loss,246.11,25246.11,10246.11
2021-05-24,2021-06-03,24.1839,23.5785,23.5785,322.6777,319.7417,315.4068,413,9987.94,-250.0,-250.0,-1.0,stop_loss,-3.8899999999999864,24996.11,9996.11
2021-06-14,2021-06-15,26.8105,26.1384,26.1384,334.3229,323.1372,320.0062,372,9973.5,-250.0,-250.0,-1.0,stop_loss,-253.89,24746.11,9746.11
2021-06-07,2021-06-18,25.0483,26.3592,24.4217,326.6467,318.9639,317.7318,399,9994.26,523.05,523.05,2.092,time_exit,269.15999999999997,25269.16,10269.16
2021-06-21,2021-07-02,26.8415,30.2585,26.1695,334.5649,327.5497,321.935,372,9985.04,1271.11,1271.11,5.084,time_exit,1540.27,26540.27,11540.27
2021-06-28,2021-07-12,29.0526,31.2256,28.3259,343.649,331.6245,324.6018,344,9994.11,747.49,747.49,2.99,time_exit,2287.76,27287.760000000002,12287.76
2021-07-26,2021-07-27,32.7442,31.9245,31.9245,358.0086,349.7091,332.819,305,9986.98,-250.0,-250.0,-1.0,stop_loss,2037.7600000000002,27037.760000000002,12037.76
2021-07-19,2021-07-30,29.2556,31.696,28.5225,344.5818,345.7272,330.8585,341,9976.16,832.16,832.16,3.329,time_exit,2869.92,27869.92,12869.92
2021-08-09,2021-08-10,32.7514,31.9317,31.9317,358.2418,353.9271,337.3798,305,9989.17,-250.0,-250.0,-1.0,stop_loss,2619.92,27619.92,12619.92
2021-08-16,2021-08-17,32.8039,31.9815,31.9815,358.4847,355.8751,340.6495,304,9972.39,-250.0,-250.0,-1.0,stop_loss,2369.92,27369.92,12369.92
2021-08-23,2021-09-03,33.8713,36.1636,33.0238,362.6138,356.4517,343.7929,295,9992.02,676.23,676.23,2.705,time_exit,3046.15,28046.15,13046.15
