seg_start,seg_end,seg_days,peak,peak_date,trough,trough_date,drawdown_pct,pullback_days
2021-11-08,2021-11-09,2,168.11,2021-11-08,124.28,2022-05-11,-26.07,126.0
2025-10-02,2025-10-02,1,281.1,2025-10-02,267.54,2025-11-20,-4.82,35.0
2025-10-06,2025-10-06,1,287.76,2025-10-06,267.54,2025-11-20,-7.03,33.0
2026-04-22,2026-04-24,3,461.6,2026-04-24,,,,
